Filename,Run Count,Last Run Date
"D:\Others\Snipaste\Snipaste.exe",6,132517416537448740
"E:\!重要资料（勿删！！！）\!!!重要资料\!重要内容备份\简书(瞎琢磨先生)\user-635814-1580476439\201506-07\（14）我们最终还是为别人打工-未完待续-.html",3,132517414506954213
"E:\!java\!java资料\2.JavaWeb\02_MySQL基础",2,132525161097909170
"C:\Users\COLORFUL\AppData\Local\Microsoft\Windows\Safety\edge\local",1,132639199892878268
"D:\a_soft\TIM\Bin\TIM.exe",1,132551184155933566
"D:\a_soft\a_devtool\IDEA\plugins\JavaScriptLanguage\helpers\node-core-modules",1,132551138284372442
"D:\f_work\a_code\a_project\尚硅谷谷粒商城电商项目（分布式基础）\软件",1,132551137960189252
"D:\a_soft\a_devtool\IDEA\plugins\maven\lib\maven3\conf\settings.xml",1,132551106591002461
"C:\Users\COLORFUL\AppData\Local\CentBrowser\User Data\Default\Extensions\fpdnjdlbdmifoocedhkighhlbchbiikl",1,132533004041884849
"C:\Users\COLORFUL\AppData\Local\CentBrowser\User Data\Default\Sync Extension Settings\igglgnndooafiikkegchgonogfgggenk",1,132533003644527180
"D:\f_main\a_data\简书(瞎琢磨先生)\user-635814-1580476439\201603\（550）未来还未到来，眼下还未过去。.html",1,132529477786635293
"D:\f_main\a_data\简书(瞎琢磨先生)\user-635814-1580476439\201603\（536）向前冲，不怕，未来有梦，回忆有光.html",1,132529477731533934
"D:\f_main\a_data\简书(瞎琢磨先生)\user-635814-1580476439\201603\（293）一个国家最痛心的事就是——失去现在又看不到未来.html",1,132529477449127934
"D:\f_main\a_data\简书(瞎琢磨先生)\user-635814-1580476439\201506-07\（14）我们最终还是为别人打工-未完待续-.html",1,132529477239507432
"D:\Others\Snipaste",1,132517415743968880
